country,entity,state,year,marital,parity,births_15_44,female_15_44,asfr_15_44,housing_cost_burden,rent_burden_share,median_gross_rent,housing_estimate_type,housing_source_url
United States,Kentucky,21,2021,all,all,52214.0,855893.0,61.005289212553436,0.4061134278863506,0.4061134278863506,,,
United States,Louisiana,22,2021,all,all,57437.0,914316.0,62.81963784949623,0.48382028561921325,0.48382028561921325,,,
United States,Maine,23,2021,all,all,12006.0,240730.0,49.87330203962946,0.4294922855517253,0.4294922855517253,,,
United States,Maryland,24,2021,all,all,68285.0,1205457.0,56.64656640593568,0.49264831019975225,0.49264831019975225,,,
United States,Massachusetts,25,2021,all,all,69137.0,1411403.0,48.98459192732338,0.4854384594651489,0.4854384594651489,,,
United States,Michigan,26,2021,all,all,104980.0,1895250.0,55.391109352328186,0.46129765415481677,0.46129765415481677,,,
United States,Minnesota,27,2021,all,all,64425.0,1099940.0,58.571376620542935,0.4551086808284031,0.4551086808284031,,,
United States,Mississippi,28,2021,all,all,35156.0,576769.0,60.953345273411024,0.4432085898704688,0.4432085898704688,,,
United States,Missouri,29,2021,all,all,69453.0,1186346.0,58.543628924445315,0.4218243389760963,0.4218243389760963,,,
United States,Montana,30,2021,all,all,11231.0,204547.0,54.90669626051714,0.3793110994397759,0.3793110994397759,,,
United States,Nebraska,31,2021,all,all,24609.0,380948.0,64.59936789273077,0.4266416732438832,0.4266416732438832,,,
United States,Nevada,32,2021,all,all,33686.0,613038.0,54.949285362408204,0.5208264863443652,0.5208264863443652,,,
United States,New Hampshire,33,2021,all,all,12625.0,252999.0,49.90138300941901,0.42559399473478293,0.42559399473478293,,,
United States,New Jersey,34,2021,all,all,101497.0,1747884.0,58.068498824864804,0.48907966530947306,0.48907966530947306,,,
United States,New Mexico,35,2021,all,all,21391.0,402868.0,53.09679597287449,0.442907758190162,0.442907758190162,,,
United States,New York,36,2021,all,all,210742.0,3895380.0,54.100498539295266,0.5032553332538481,0.5032553332538481,,,
United States,North Carolina,37,2021,all,all,120466.0,2061442.0,58.43773436264517,0.4445861582869034,0.4445861582869034,,,
United States,North Dakota,38,2021,all,all,10112.0,150589.0,67.14965900563787,0.3845009330710647,0.3845009330710647,,,
United States,Ohio,39,2021,all,all,129791.0,2238663.0,57.977015745558845,0.4062281743480355,0.4062281743480355,,,
United States,Oklahoma,40,2021,all,all,48410.0,783969.0,61.74989062067505,0.4197442570160822,0.4197442570160822,,,
United States,Oregon,41,2021,all,all,40914.0,835675.0,48.959224578933195,0.4855336547896505,0.4855336547896505,,,
